书籍编号,书名（25字符以内）,作者（不包含国籍等其他信息）,出版社,ISBN（10或13位纯阿拉伯数字）,字数（纯阿拉伯数字）,ER值（运营无需提供）（100~1300之间）,基础评分（十分制，精确到小数点后一位）,评分人数（1~1000）,原图书标签,一级标签（必填）,二级标签（必填）,特殊标签（选填）获奖、窦桂梅、新课标等,年级（与考拉年级标注对应）,定价,平台售价,折扣,出版日期,简介（无字数限制，顶行）,
940406,午夜里的探险,阿尔诺·阿尔梅拉,广州出版社,9787807316411,2300,390,6.2,245,绘本与童话,故事/漫画,童话故事,,1.5,,,,,蕾娅、伯努阿和丽赛特在屋子附近搭了一个小木棚，他们决定在那里过夜。就在他们钻进睡袋的时候，丽赛特说：“今晚，我们去沼泽溜溜怎么样？”伯努阿表示同意。蕾娅却有些害，旧，可她还是同意了：可不能被人家看成是胆小鬼啊！,
940407,会飞的鞋子,夏娃丽娜·勒贝格,广州出版社,9787807319313,1200,230,6.2,245,绘本与童话,故事/漫画,童话故事,,1,,,,,妖怪大木桶穿着能飞起来的鞋子到处作恶，让人们胆战心惊。有一天，他穿着这双有魔力的靴子去鞋匠家修鞋。鞋匠能否利用这个机会，让村民们摆脱这个妖怪的困扰呢？,
940408,淘气的小英雄,昂里埃特·比肖尼埃,广州出版社,9787807319313,3000,330,6.2,245,绘本与童话,故事/漫画,童话故事,,1.5,,,,,迪波塔是鞋匠的儿子，他非常调皮，喜欢搞恶作剧。有一次，他在一天里搞了七个恶作剧，然后受到了严厉的惩罚：他的父母把他关进了地下室！第二天，没人去找他，因为海盗把他的父母关了起来……,
930154,邪恶的三胞胎,保尔·范罗恩,中国少年儿童出版社,9787514804850,58000,570,6.3,672,绘本与童话,故事/漫画,童话故事,,3,,,,,克莱切斯夫人回来了，这可吓坏了多弗。但幸运的是，她似乎已经改过自新。可是，两个跟克莱切斯夫人长得很像的老太太是谁呢？她俩为什么深更半夜扛着划艇在森林里转悠？为什么突然之间大家都消失了？先是雷欧，然后是狼人爷爷，接着是……,
930155,狼人秘密,保尔·范罗恩,中国少年儿童出版社,9787514804867,58000,580,6.3,672,绘本与童话,故事/漫画,童话故事,,3,,,,,多弗和诺拉放假啦！他们和蒂米一家一起去度假。在那儿，多弗和诺拉发现了一栋令人毛骨悚然的好像鬼屋的老房子。当多弗看见老房子里的神秘画像和写有他名字的家族族谱时，巨大的好奇心驱使他立刻展开调查……,
930156,狮子坑里的狼人,保尔·范罗恩,中国少年儿童出版社,9787514804874,55000,570,6.3,672,绘本与童话,故事/漫画,童话故事,,3,,,,,当多弗睁开眼睛时，天已经亮了。他并不是睡在床上，他的周围全是野兽。他在哪儿呢？到底发生了什么事？一大早，丹尼尔和苏希娜看见了一个戴着眼镜的陌生男孩。他说他什么都忘了，只知道谁都不可以看到他！兄妹俩把男孩藏在狮子坑里，那是他们的秘密树屋。然而，他们能够藏他多久呢？,
930157,狼人帮,保尔·范罗恩,中国少年儿童出版社,9787514804881,80000,420,6.3,672,绘本与童话,故事/漫画,童话故事,,2,,,,,这是一个漆黑的夜晚。“要小心，多弗！”狼人爷爷说，“外面有……怪物！”多弗看见他们了，可怕的人影，长着尖尖的耳朵，他们低吼着、嬉笑着。更多的怪事接连发生。克莱切斯夫人在园子里拿着喷壶和古怪的草木干什么？多弗的一些同学在满月后的第二天都累得要命，他们怎么了？,
930158,雪狼,保尔·范罗恩,中国少年儿童出版社,9787514804898,35000,540,6.3,672,绘本与童话,故事/漫画,童话故事,,3,,,,,下雪啦！多弗和诺拉在大雪覆盖的森林里奔跑。突然，一堆堆的雪从空中飞落。危险！多弗和诺拉赶快逃到狼人爷爷家，他们在那儿等待雪停。为了消磨时间，多弗讲精彩的故事给诺拉听。但是，那些神秘的飞雪究竟是从哪儿来的呢？,
930159,夜莺,安徒生,新世界出版社,9787510426933,3000,420,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,在中国皇帝的花园里，有一只夜莺。皇帝觉得它的歌非常好听，就让它到宫廷里来唱歌。不久，日本使臣来到中国，送上了一个用黄金做成的夜莺，也会唱好听的歌。可是，最终能打动死神的，还是普通夜莺的歌声。,
930161,一下打死七个,格林,新世界出版社,9787510426919,3000,440,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,小裁缝正要用午餐的时候，讨厌的苍蝇飞来飞去，他一挥手就打死了七个，对自己非常敬佩，出门闯荡世界。最后运用自己的智慧克服了重重困难，娶了公主。,
930162,魔桌,贝伊修达恩,新世界出版社,9787510426940-4,3000,410,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,"裁缝的大儿子、二儿子和小儿子都出门学手艺，并且各自获得了一样宝物。可是，老大和老二的宝物被旅店老板骗走了，老三用计策得到了属于老大和老二的宝物。
作者简介",
930163,幸运的汉斯,格林,新世界出版社,9787510426940-5,3000,420,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,汉斯是个很勤快的年轻，在回家的时候主人送给他一个金块。可是，他嫌金块太沉了，用它换了一匹马。又觉得马不听话，用它换了一头牛。之后，他用牛换了猪，用猪换了鹅，用鹅换了两块石头，连石头也掉进井里了，两手空空回到家。,
930164,蓝胡子,贝洛,新世界出版社,9787510426940-6,3000,380,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,蓝胡子魔王是个有钱但残暴的人，普利姆垂涎他的财宝，嫁给了蓝胡子。可是，却没有听从他的话，用小钥匙打开了地下室的大门，终于发现蓝胡子之前的六个妻子都被他杀害了。蓝胡子知道后打算杀害普利姆，没想到，却被及时赶来的普利姆的哥哥杀死了。,
930166,森林中的小屋,格林,新世界出版社,9787510426858,3000,430,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,住在森林中的樵夫有三个美丽的女儿，他进入森林砍柴，让女儿把午饭送到森林里。但是三个女儿都迷路了，走进林中一个很奇怪的小屋。最勤劳的小女儿得到了幸福。,
930167,杰克和仙豆,梅克斯,新世界出版社,9787510426841,3000,410,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,杰克的爸爸去世后，妈妈也生病了。妈妈让他把家里唯一的牛卖掉。可是杰克却用它换来了一袋仙豆。仙豆长成了一棵参天大树。杰克爬上去后发现了会下金蛋的鸡。,
930168,小矮人多姆,萨尼,新世界出版社,9787510426834,3000,400,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,国王让贫家女把一屋子的稻草纺成金线，贫家女实在不知道该怎么办才好。这时，小矮人帮她完成了这件事，唯一的条件就是要带走将来的小王子。可她成为王后之后又不舍得自己的孩子了。,
930169,丑小鸭,安徒生,新世界出版社,9787510423918,3000,430,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,刚刚出生的天鹅看上去就像一只丑陋的小鸭子，可是最终，他成为了一只美丽的天鹅。生活中，我们不必在意别人的目光。要知道，每个人都是独一无二的，每个人都有自己的特长，只要通过自己的努力，一定会成为一个优秀的人！,
930170,小伊达的花,安徒生,新世界出版社,9787510423901,3000,370,6.3,672,绘本与童话,故事/漫画,童话故事,,1.5,,,,,小伊达在秋天来临的某个夜晚见到了花们在开舞会，一夜过去，她发现那些花都枯萎了。而她在埋葬了花后，期待起了明年的花期的故事。,
930173,牧鹅女,格林,新世界出版社,9787510423871,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,温柔而善良的公主要去王子的国家完成婚礼。在路上，却被狠心的婢女威胁，被迫和她调换了角色。见到王子后，公主只能眼看着小人得志，自己去牧鹅。,
930174,狮子和木匠,塞尔吉奥,新世界出版社,9787510423864,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,有一只小野鸭迷路了，飞到人们居住的小岛上，遇到了小狮子。小狮子没见过人类，发誓要赶走岛上的人。,
930175,饼干房子,格林,新世界出版社,9787510423857,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,一对苦命的兄妹，由于家里贫困，继母怂恿父亲把他们扔在了大森林中。他们看见了一个好大好美的饼干房子，开心极了！不料却误入了巫婆的家。,
930176,五颗豌豆,安徒生,新世界出版社,9787510423840,3000,370,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,一颗豆荚里长着五个豌豆兄弟，他们各有各的目标，只有最小的那颗豌豆说，不管到哪儿，我都会住下来的。他果然滚落在一个破旧的窗台上，开出了小小的白色花朵，为屋子里生病的小女孩带去了生的希望。,
930178,拇指姑娘（新世界）,安徒生,新世界出版社,9787510423956,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,拇指姑娘只有拇指般大小，幸福地生活在自己的小天地里。可是有一天，她被丑陋的癞蛤蟆带走了，又在鱼儿的帮助下逃了出来，以花露和花蜜为生。到了寒冷的冬天，好心的田鼠婆婆收留了她。,
930179,羽毛婆婆,格林,新世界出版社,9787510426476,3000,420,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,芙罗拉是个苦命的女孩，每天要做很多家务活。有一天，她不小心把线轴掉进了水里。狠心的继母让她捞出线轴，芙罗拉治好跳进水里，却无意中进了羽毛婆婆的家。,
930180,阿布达拉,费里,新世界出版社,9787510426469,3000,420,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,在打渔时认识了人鱼阿卜杜拉，他们成了好朋友。海里的阿卜杜拉送给路上的阿卜杜拉很多珍珠钻石，路上的阿卜杜拉送给海里的阿卜杜拉很多新鲜的水果。,
930181,生命泉,格林,新世界出版社,9787510426490,3000,340,6.3,528,绘本与童话,故事/漫画,童话故事,,1,,,,,国王得了重病，只有喝生命泉的水，才能治好他的病。三位王子去找生命泉，最后好心的三王子找到了。,
930182,金鸟,格林,新世界出版社,9787510426452,3000,420,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,国王的院子里有一棵结金苹果的果树。有一天，金苹果少了一个，原来是金鸟偷走了金苹果。国王很想得到这只金鸟，就派三个王子出去寻找。,
930183,小锡兵,安徒生,新世界出版社,9787510426445,3000,390,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,小男孩过生日时，收到一盒小锡兵。可是，有一个小锡兵少了一条腿。,
930184,牧羊女和扫烟囱的人,安徒生,新世界出版社,9787510426438,3000,700,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,房间里有各式各样的瓷娃娃，其中，牧羊女和扫烟囱的人是一对恋人。可是，牧羊女的爷爷要把她嫁给别人。,
930185,魔毯,利马,新世界出版社,9787510426421,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,为了和公主结婚，王子和他的两个哥哥出去寻找宝物。王子得到一条会飞的魔毯.,
930186,阿布吉尔和阿布修尔,利马,新世界出版社,9787510426414,3000,380,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,懒惰的阿布吉尔和勤劳的阿布修尔一块去旅行。他们到了一个国家，国王非常喜欢他们。,
930188,白玫瑰和红玫瑰,利马,新世界出版社,9787510426391,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,一对可爱的小姐妹，和妈妈一起住在森林边，她 们的小木屋周围开满了玫瑰花。冬天到了，一只彬彬 有礼的大熊，每天晚上来家里做客，和姐妹俩一起玩 耍。春天来了，奇怪的小矮人不是被树枝缠住了胡子 ，就是要被大鱼拖下水，姐妹俩救了他反而被他骂… …,
930190,阿拉丁和神灯,恩里科,新世界出版社,9787510426803,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,阿拉丁是一个懒惰的孩子。他不喜欢劳动，成天和朋友们在市场上玩耍。他和母亲都很穷，经常挨饿。但阿拉丁从来都不工作，也不帮助他的母亲。有一天，阿拉丁的叔叔阿巴那扎尔来到这个城市。“我很有钱。”他跟阿拉丁和他母亲说。他给了他们一些金子，给阿拉丁买了一件漂亮的新外套，还说想继续帮助他们。阿拉丁非常高兴。但其实阿巴那扎尔并不是阿拉丁的叔叔。他是来自摩洛哥的一位魔法师，他想找到一盏神灯。他知道那盏灯在一个阿拉伯城市附近的一座神奇的地下花园里，只有这个城市里的一个穷孩子能进入花园找到那盏神灯，这个男孩的名字叫阿拉丁。,
930191,变成鹳的国王,哈乌富,新世界出版社,9787510426889,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,有个国王中了别人的诡计，和他的大臣都变了鹳。他们来到一个城堡中，在那里看到了同样被施魔法的猫头鹰公主。他们互相帮助，终于解除了魔法。,
930192,小金鱼,普希金,新世界出版社,9787510426797,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。是它们呵护着我们的童年。英国作家卡罗尔曾借笔下爱丽丝之口说过：“如果一本书里没有图画和对话，那还有什么意思呢？”如果说童话是儿童的精神之源，那么，图画则是儿童感知和表达的重要手段。每个儿童天生都是艺术家，正是在这个意义上，对于主要通过模仿来感知世界的儿童来说，为其选择何种插图的儿童读物就尤为重要。我们郑重地向您推荐这套共60本插图和文字皆堪称完美的《彩色世界童话全集》。1500幅意大利插图大师的绝美手绘插图，台湾著名儿童文学家方素珍主持编译。文字与插图交相辉映，绝无仅有！,
930193,魔笛,布朗宁,新世界出版社,9787510426780,3000,440,6.3,528,绘本与童话,故事/漫画,童话故事,,2,,,,,在一个城市里，有很多老鼠，这些老鼠成群结队，在街道上，或者民宅里，大摇大摆地走来走去。有一天，来了一个吹笛子的人，他赶走了这群老鼠。,
930194,美女与野兽,波曼夫人,新世界出版社,9787510426773,3000,420,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,某一村庄的商人，有三个女儿与一个儿子，但他们不是素行不良就是心地恶毒，只有小女儿贝如最为纯洁，却经常遭到他们的欺负。一次商人在回家的路上迷了路，出现一个怪兽，它要他把命献给它，或者是把他的一个女儿的命献给它。商人回去后将这件事告诉了三个女儿，但只有小女儿一人愿去。来到森林后，她发现怪兽并没有伤害她，而是把她像女皇一样侍候着……贝如从魔镜里看到怪兽身患重病，于是骑着魔马，奔向森林，正好看见她的哥姐们侵入屋内想夺取宝石，夺宝石的哥哥被从女神像后射出的箭刺死，变成了怪兽；而怪兽因为被解除了魔法变成了一位俊美的王子。从此他与贝如过上了幸福的生活。,
930195,七只乌鸦,格林,新世界出版社,9787510426766,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,这是一个温暖的亲情故事，感动人心。小姑娘的七个哥哥因为父亲的一句无心诅咒，变成了七只乌鸦飞走了，妹妹长大后，决定走遍天涯去寻找哥哥。她独自上路，历尽艰险，终于走到了七只乌鸦栖身的地方。故事中妹妹对哥哥的亲情之爱令无数读者感动。,
930196,三只狗,贝伊修达恩,新世界出版社,9787510426742,3000,430,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。我相信你曾听到故事中的形象与文字进入他们的玩耍之中。孩子由故事中学到这世界，一个大大超越了他们房间墙壁的、有各种可能性的世界。,
930197,小红萝卜姑娘,格林,新世界出版社,9787510426728,3000,390,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,木匠只是偷了巫婆的小胡萝卜，自己的婴儿就被抱走了。后来，这个婴儿变成了漂亮的女孩子，却被巫婆关在很高的塔楼上。童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。是它们呵护着我们的童年。,
930202,白蛇,格林,新世界出版社,9787510426704,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。我相信你曾听到故事中的形象与文字进入他们的玩耍之中。孩子由故事中学到这世界，一个大大超越了他们房间墙壁的、有各种可能性的世界。,
930203,三个音乐家,贝伊修达恩,新世界出版社,9787510426698,3000,430,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。没有比较，就看不出结果，也显示不出收获的可贵。童话中得到公主的总是谁呢？不管贫富，主人公常常是具备了各种美好的品质，勇敢、智慧、在追求幸福的道路上游刃有余。,
930204,小拇指,梅克斯,新世界出版社,9787510426681,3000,430,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,在很久很久以前，一对伐木工人夫妇养育了一群儿子，大的十岁，小的才七岁。因营养不足，小儿子长得个头很小，被家人称为“小姆指”。由于家境贫困，无法维持生计，眼看着孩子们就要饿死在自己的眼前，无奈之下夫妇决定将他们抛弃在丛林之中，任其自生自灭。,
930205,红色魔法书,贝伊修达恩,新世界出版社,9787510426759,3000,370,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,西姆奈很喜欢看书。他在装订厂做装订工人。有空的时候，就拼命看书。装订厂有一本红色的书，老板却不准西姆奈看。西姆奈还是偷看了，原来这是一本魔法书。所以，他也会魔法了。,
930206,会黏人的天鹅,贝伊修达恩,新世界出版社,9787510426674,3000,420,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,有一只奇怪的天鹅，只要有人这么叫：“天鹅，黏住他。”什么东西都会被天鹅黏住。最后，连公主也被黏住了。并且，公主还喜欢上了天鹅的主人。童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。大部分的孩子都在故事中展开想象力，蜷伏在讲故事或念故事的人身边得到喜悦。,
930207,瞎眼的酋长,乌纳,新世界出版社,9787510426636,3000,440,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。如果你想要孩子聪明，读童话故事给他们听。如果你要他们更聪明，读更多的童话故事给他们听。,
930208,布莱梅的乐队,格林,新世界出版社,9787510426667,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,童话的永恒魅力不仅仅在于故事内容充满激动人心的冒险和悬疑，契合儿童天马行空的想象世界，而且还能帮助孩子“处理成长过程中必须面对的内心冲突”。如果你想要孩子聪明，读童话故事给他们听。如果你要他们更聪明，读更多的童话故事给他们听。,
930209,怪物的三根毛发,格林,新世界出版社,9787510426650,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,在森林中的樵夫家里，有个男婴诞生了。这个婴儿生下来的时候，居然穿着一件衣服，据说他会娶公主。国王很生气，把婴儿扔进水里。没想到，婴儿长大后，还是阴错阳差娶了公主。,
930210,画眉嘴国王,格林,新世界出版社,9787510426643,3000,380,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,公主已经到了结婚的年龄，可是她非常骄傲，看不上每一个求婚者，还嘲笑他们。国王生气了，说要把她嫁给见到的第一个乞丐。公主不幸地离开了王宫，过上了清贫的生活。在历经磨难之后，终于反省了自己的错误。这才发现，那个乞丐就是画眉嘴国王装扮的。,
930211,被施魔法的公主,贝伊修达恩,新世界出版社,9787510427039,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,魔法师从国王的皇宫带走了公主，把她关在山上的城堡里，还派了老巫婆和一只可怕的龙看守她。如果有人想救公主，巫婆就用三个问题来检测他，如果做不到，龙就把他吃掉。,
930212,白雪公主,格林,新世界出版社,9787510427022,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,白雪公主长得非常漂亮，皮肤比雪还要白。后母嫉妒她的美貌，让猎人杀害白雪公主。可是猎人只是把她送进了森林。七个小矮人收留了白雪公主。不久，她的后母发现她还活着，想法设法害死要她。王子无意中救活了白雪公主，两个人过上了幸福的生活。,
930213,三颗柠檬,巴吉雷,新世界出版社,9787510427015,3000,400,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,王子想一个新娘，她的皮肤要像雪一样白，嘴唇要像鲜血一样红艳。在仙女的帮助下，他得到了柠檬变成的美丽女孩。历经波折，有情人终成眷属。,
930214,牧羊人和公主,贝伊修达恩,新世界出版社,9787510427008,3000,410,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,国王想找一位聪明又勇敢的人，做公主的驸马，全国的年轻人都聚集到城里来了，想碰碰运气。贫穷的牧羊人也来了。经过许多波折，终于和公主结婚了。,
930215,火绒匣,安徒生,新世界出版社,9787510426995,3000,380,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,一个退伍的士兵在回家乡的途中遇到了巫婆。巫婆让他帮自己取出树洞里的火绒匣。士兵感到这只火绒匣非常重要，就没有给巫婆。终于，他发现擦亮火绒匣就能召唤拥有魔力的狗。,
930219,神话故事,韩晶,湖北美术出版社,9787539468761,23500,360,6.3,528,绘本与童话,故事/漫画,神话故事,,1,,,,,《神话故事》精选经典的幼儿故事，配以精美的彩插，故事情节简单而生动，跨页图画面精美，图文并茂，让孩子身临其境。既符合幼儿的阅读习惯，又方便父母和孩子亲子共读。神话故事是由远古时代的人民集体口头创作而成的，借助丰富多彩的想象把自然力和客观世界拟人化，使得故事生动有趣。它可以开启孩子们的智慧，扩展他们的眼界，让他们了解各地的风俗和文化。,
930220,民间故事,韩晶,湖北美术出版社,9787539468792,23500,330,6.3,528,绘本与童话,故事/漫画,民间故事,,1.5,,,,,《民间故事》精选经典的幼儿故事，配以精美的彩插，故事情节简单而生动，跨页图画面精美，图文并茂，让孩子身临其境。既符合幼儿的阅读习惯，又方便父母和孩子亲子共读。民间故事是民间文学中的重要门类之一，是古代劳动人民的创作结晶，伴随着人类的成长历程而经久不衰。它题材广泛，情节夸张，充满幻想，不仅为孩子们提供各方面的知识和经验，而且有助于他们养成正确的价值。,
930223,森林中的三个小矮人,格林,新世界出版社,9787510426971,3000,380,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,杜尔蒂娜是个可怜的孩子，在冬天里被继母驱赶，去森林中采摘草莓。她无意中走进了三个小矮人的房子。不但非常懂礼貌，还分享自己的食物，勤劳地打扫庭院。三个小矮人决定送给她美貌、幸福和财富。,
930224,卡玛王子和布达公主,塞尔吉奥,新世界出版社,9787510426964,3000,370,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,卡玛王子和中国的布达公主都不喜欢结婚，所以被他们的父亲关在屋子里。顽皮的小精灵把他们送到一起，他们果然彼此喜欢了。,
930225,驴皮公主,贝洛,新世界出版社,9787510426957,3000,300,6.3,528,绘本与童话,故事/漫画,童话故事,,1,,,,,老国王的妻子去世了，他很怀念妻子，于是，打算娶妻子的小妹妹玛利亚为妻。可是玛利亚十分不愿意嫁给年老的国王，就披着驴子皮逃到了邻国。邻国的王子无意中发现了她的美貌，终于迎娶了美丽的玛利亚。,
930247,我的大脑能上网,杨鹏,春风文艺出版社,9787531345954,96000,600,6.3,528,绘本与童话,故事/漫画,童话故事,,3,,,,,信不信由你，我的大脑能上网，这都拜小人儿爸爸的新发明所赐。通过它，我成了数学天才，能背出圆周率小数点后一万位，从班里不起眼的“小人物”一下子变成被同学们崇拜的偶像、老师眼中有潜力的“新星”；我成为功夫高手，像个小超人一样做了不少好事。不过，也不是事事圆满，我的大脑中了电脑病毒差点儿一命呜呼，这个超级发明也被科学狂人猴子抢走，麻烦又要发生了……,
930252,冬季童话,坪田让治,上海人民美术出版社,9787532249077,10000,480,6.3,528,绘本与童话,故事/漫画,童话故事,,2,,,,,四月里漫天飞舞的樱花，充满传奇色彩的富士山，北海道的渔场，大阪的古桥，札幌的钟楼…… 不过，最最神奇美妙的是那个美丽的传说：夜已经很深了，连星星都睡着了，如果这时你还没有睡，就会响起敲门声。这么晚了，会是谁呢？白色即无色，是永恒的色彩，它充满智慧和诗意，比其他色彩更容易营造出一份空灵的意境。在童话故事中，白色永远都代表着纯洁、善良。风情浓郁的日本童话，犹如华光四溢的珍珠，既弥漫着孩童的纯真情趣，又飘散着神秘的异域气息，在字里行间为我们打开了一个动人心弦的幻想世界。,
930255,想当老师的猫,王晓明,二十一世纪出版社,9787539167015,4000,440,6.3,528,绘本与童话,故事/漫画,童话故事,,1.5,,,,,《王晓明心情童话绘本：想当老师的猫》是著名童书画家兼作家王晓明先生的作品精选集，收入《想当老师的猫》《会走的枕头》《飞机儿子》《天上飞来臭豆腐》《柔软的沙发》《猪猪的南瓜饼》《快乐轮胎》等作品。故事构思巧妙，充满急智，注重陶冶情操，培养美德，开启心智。,
930256,机器妈妈（注音版）,杨鹏,春风文艺出版社,9787531341161,100000,450,6.3,528,绘本与童话,故事/漫画,童话故事,,2,,,,,《装在口袋里的爸爸：机器妈妈（注音版）》中杨歌的爸爸经常被妈妈骂，结果越变越小，最终变成拇指般大的小人儿。妈妈每天累得腰酸腿疼，拇指大的爸爸发现了一个手电筒，用这个手电筒一照，妈妈变成了机器妈妈。双手力大无比，飞毛腿，超级无敌，还会做各美味，可是这么酷的妈妈却让杨歌和爸爸越来越害怕，杨歌要带着爸爸逃离机器妈妈的魔爪。,
930265,树叶鸟,冰波,浙江少年儿童出版社,9787534256424,117000,510,6.3,528,绘本与童话,故事/漫画,童话故事,新课标推荐,2,,,,,"秋天到了,天气凉了,树叶变黄了。它们离开了树妈妈,随风飘着。飘着、飘着，就变成了一只只黄色的小鸟，向南方飞去。它们飞到了一个美丽的地方。这里的湖水是绿绿的，暖暖的。它们飞到湖里去洗澡。洗呀，洗呀，小黄鸟都洗成了一只只绿色的小鸟。天气边暖和了，树妈妈长出了绿芽芽，小绿鸟也飞到了树妈妈的身边，落在树枝上又变成了一片片绿色的树叶。",
930266,骑自行车的月亮,张秋生,浙江少年儿童出版社,9787534256523,110000,580,6.3,528,绘本与童话,故事/漫画,童话故事,新课标推荐,3,,,,,《骑自行车的月亮》本书是冰心儿童文学新作奖获奖者韩青辰的作品精选，有描写细腻生动的小说，优美灵动的散文，意境悠远的诗歌，活泼稚趣的幼儿文学，充满想象的童话，富含哲理的话剧，文字优美、意境深远、想象丰富，给读者以亲切的感受、心灵的启迪。,
930268,海的女儿（中国少儿出版社）,安徒生,中国少年儿童出版社,9787514814095,13200,630,6.3,528,绘本与童话,故事/漫画,童话故事,,3,,,,,海王国有一个美丽而善良的美人鱼。美人鱼爱上了陆地上英俊的王子，为了追求爱情幸福，不惜忍受巨大痛苦，脱去鱼尾，换来人腿。但王子最后却和人间的女子结了婚。巫婆告诉美人鱼，只要杀死王子，并使王子的血流到自己腿上，美人鱼就可回到海里，重新过着无忧无虑的生活。可她却为了王子的幸福，自己投入海中，化为泡沫……,
930269,大个子老鼠小个子猫8,周锐,春风文艺出版社,9787531338123,106000,490,6.3,528,绘本与童话,故事/漫画,童话故事,,3,,,,,大个子老鼠是男生，小个子猫是女生，他们是好朋友，不光因为大个子老鼠真诚、友爱，也不光因为小个子猫善良，她也挺漂亮的，当然最主要的是，他们在一起互相关怀，才使共同经历的每件事情看上去都那么美好。,
930270,大个子老鼠小个子猫6,周锐,春风文艺出版社,9787531337744,100000,520,6.3,528,绘本与童话,故事/漫画,童话故事,,3,,,,,大个子老鼠是男生，小个子猫是女生，他们是好朋友，不光因为大个子老鼠真诚、友爱，也不光因为小个子猫善良，她也挺漂亮的，当然最主要的是，他们在一起互相关怀，才使共同经历的每件事情看上去都那么美好。,
